Aminoacid_18vs21,Chi2,p_value,Significance: 0.0006578947368421052
Ala,39.41810329081085,1.4154078109368964e-08,Significant
Arg,102.16719164639441,1.8456575278724843e-20,Significant
Asn,61.141422435165566,5.3118693297775414e-15,Significant
Gln,34.350282377079694,4.603335713384161e-09,Significant
Glu,14.690793339636397,0.00012666355237204652,Significant
Gly,116.93094397010336,3.534602040560861e-25,Significant
Ile,41.83115076758066,8.250514368913381e-10,Significant
Leu,149.9958539876836,1.3378537722227574e-30,Significant
Lys,15.639565478746006,7.663425552800694e-05,Significant
Pro,44.5003241238986,1.1815412063650326e-09,Significant
Ser,142.21202894702702,6.059021623381477e-29,Significant
Thr,178.83854871015433,1.5713812650169559e-38,Significant
Tyr,21.563168234942403,3.4236386059393454e-06,Significant
Val,19.66183617893994,0.00019945521002556212,Significant
