Aminoacid_3vs21,Chi2,p_value,Significance: 0.000462962962962963
Ala,542.5770916385061,2.8239081263874367e-117,Significant
Arg,415.6098992088397,1.2806657296829148e-87,Significant
Asn,107.43993297813503,3.565496211264761e-25,Significant
Asp,98.75407864903562,2.8588754165239296e-23,Significant
Cys,360.8055418257652,1.8800962466836777e-80,Significant
Gln,271.808819303871,4.5781472110152486e-61,Significant
Glu,635.085018678887,3.9163670325919893e-140,Significant
Gly,525.1746404817217,1.6699072105319848e-113,Significant
His,211.37190530673138,6.895400320246914e-48,Significant
Ile,637.969997163724,2.928028542901809e-139,Significant
Leu,634.0977907201687,8.660051954118851e-135,Significant
Phe,139.36431571881457,3.6662779534944367e-32,Significant
Pro,1803.5954861360242,0.0,Significant
Ser,1305.3799255929794,4.362873991578276e-280,Significant
Stop,506.4747806594062,1.048090460706701e-110,Significant
Thr,484.7405997458178,9.671729086444961e-105,Significant
Tyr,133.88518753238958,5.788811208291595e-31,Significant
Val,1393.651538764015,7.026547054603887e-302,Significant
