Aminoacid_15vs18,Chi2,p_value,Significance: 0.0006944444444444445
Ala,54.12790165254091,1.0537516434385277e-11,Significant
Arg,71.03734997436925,6.232937938508879e-14,Significant
Gln,69.39693526142368,8.051367564481215e-17,Significant
Ile,58.57287634775657,1.9101237586121234e-13,Significant
Leu,159.26578463588567,1.4191601017922165e-32,Significant
Lys,11.848542287231272,0.000577065000546814,Significant
Phe,34.959615963950206,3.3661488227354657e-09,Significant
Pro,57.72329989283148,1.8009333147871346e-12,Significant
Ser,45.03799273332552,1.4253008599921355e-08,Significant
Thr,34.5910034431127,1.486386523667682e-07,Significant
Val,93.39146530857658,4.092346608062651e-20,Significant
