Aminoacid_21vs24,Chi2,p_value,Significance: 0.0004385964912280702
Ala,36.67010157038011,5.403531377239845e-08,Significant
Arg,797.3717160410864,4.2842503483357876e-170,Significant
Asn,528.7271820746101,5.343894684682795e-117,Significant
Asp,96.95831053555277,7.080252509616849e-23,Significant
Cys,821.9006800323987,9.344123748311448e-181,Significant
Gln,34.46863860730348,4.3317480346514895e-09,Significant
Glu,833.2857781932235,3.128353263635157e-183,Significant
Gly,269.7046207270051,3.575784937271406e-58,Significant
His,1490.5034185986826,0.0,Significant
Ile,868.8379964825201,2.158868700266517e-189,Significant
Leu,2455.152798357519,0.0,Significant
Lys,167.50487117006546,2.595079074035999e-38,Significant
Phe,167.6724898677892,2.3852724361987293e-38,Significant
Pro,4462.500420014427,0.0,Significant
Ser,2096.359111149318,0.0,Significant
Stop,118.13380543969252,2.226230280804555e-26,Significant
Thr,187.1207471872269,2.555934167285625e-40,Significant
Tyr,1833.1506471255675,0.0,Significant
Val,708.8642297597164,2.5114310655421363e-153,Significant
