Aminoacid_12vs15,Chi2,p_value,Significance: 0.0005263157894736842
Ala,323.99556383842577,6.365039564524467e-70,Significant
Arg,140.18110972889033,1.6374668669204418e-28,Significant
Asn,62.79610210710764,2.2925209605339833e-15,Significant
Asp,68.87793217468013,1.0475041939250212e-16,Significant
Cys,39.98699842241122,2.5565889160466136e-10,Significant
Gln,25.613660151167625,4.1707636742243527e-07,Significant
Glu,72.46617330861353,1.6991966786030122e-17,Significant
His,45.42165226704172,1.5886833933464184e-11,Significant
Ile,55.43885334148259,9.153895607920164e-13,Significant
Leu,199.06788050188487,4.4958095374313606e-41,Significant
Lys,16.67625383173719,4.4332468586020295e-05,Significant
Phe,26.360193429671646,2.833197015212928e-07,Significant
Pro,74.68693731998938,4.228655995136883e-16,Significant
Ser,29.99249420043892,1.4798836592518462e-05,Significant
Thr,28.899941433734305,2.350506029233359e-06,Significant
Tyr,91.69840602640592,1.0094617105150211e-21,Significant
Val,195.9331851452753,3.190386616604339e-42,Significant
